Top Streamed Music Artists Week 09032020

Artist                         Appearance

Megan Thee Stallion                2
Cardi B                            1
Maluma                             5
Iann Dior                          1
24kGoldn                           1
BTS                                2
Selena Gomez                       1
BLACKPINK                          3
Jawsh 685                          1
Harry Styles                       3
The Weeknd                         4
Roddy Ricch                        4
DaBaby                             3
Lil Durk                           1
Drake                              7
SAINt JHN                          1
Lil Tjay                           1
Pop Smoke                          5
Topic                              1
DiOs Mío!                          1
Lil Baby                           3
Tainy                              2
J Balvin                           4
MNEK                               1
Joel Corry                         1
Conan Gray                         1
Jay Wheeler                        1
Marshmello                         3
Juice WRLD                        13
Nio Garcia                         1
Camilo                             3
Rauw Alejandro                     2
Ozuna                              2
Tones And I                        1
Ariana Grande                      3
Lady Gaga                          3
Don Toliver                        2
NAV                                1
Internet Money                     2
Sech                               2
Miley Cyrus                        2
Powfu                              1
Lewis Capaldi                      3
Tate McRae                         1
Chris Brown                        2
Dua Lipa                           3
Lil Mosey                          1
Black Eyed Peas                    2
50 Cent                            1
Emilee                             1
Surf Mesa                          1
Justin Bieber                      4
Lenny Santos                       1
KHEA                               1
Ava Max                            1
Nicki Nicole                       1
Trueno                             1
StaySolidRocky                     1
Labrinth                           1
Post Malone                        3
Jason Derulo                       1
Travis Scott                       5
KAROL G                            1
Jerry Di                           1
BØRNS                              1
Taylor Swift                       3
Shawn Mendes                       1
Trevor Daniel                      1
Maroon 5                           2
Quavo                              1
Billie Eilish                      5
blackbear                          2
Machine Gun Kelly                  1
Anuel AA                           2
Towy                               1
Falsetto                           1
Super Yei                          1
Halsey                             3
K/DA                               1
Harm Franklin                      1
Curtis Waters                      1
Khalid                             3
Regard                             2
Arizona Zervas                     1
Nicky Jam                          1
Doja Cat                           2
THE SCOTTS                         1
Dímelo Flow                        1
Swae Lee                           1
Bon Iver                           1
Surfaces                           1
BENEE                              1
Julia Michaels                     1
JP Saxe                            1
Imagine Dragons                    1
Jul                                1
Nea                                1
ITZY                               1
Justin Quiles                      3
Harry Nach                         1
Niack                              1
Bad Bunny                          2
Melanie Martinez                   1
XXXTENTACION                       3
Saweetie                           1
Jhay Cortez                        1
James Arthur                       1
Clairo                             1
Wallows                            1
Marshmello                         1
The Kid Laroi                      1
Jack Harlow                        1
Pablo Alborán                      1
Ed Sheeran                         3
Giveon                             1
21 Savage                          1
Kygo                               2
Queen                              1
Kendrick Lamar                     1
6ix9ine                            1
Young Thug                         2
Gunna                              1
MEDUZA                             1
Beyoncé                            1
Katy Perry                         1
Polo G                             2
Morgan Wallen                      1
John Legend                        1
Manuel Turizo                      1
42 Dugg                            1
BANNERS                            1
Robin Schulz                       1
Alex Rose                          1
Bea Miller                         1
Dean Lewis                         1
The Chainsmokers                   1
AJ Tracey                          1
Stormzy                            1
Headie One                         1
Passenger                          1
Tame Impala                        1
Peach Tree Rascals                 1
KitschKrieg                        1
Snøw                               1
Kina                               1
Shaggy                             1
Conkarah                           1
Dalex                              1
Jowell & Randy                     1
Jonas Esticado                     1
YoungBoy Never Broke Again         1
Noah Cyrus                         1
The Neighbourhood                  1
Mc Zaac                            1
Vance Joy                          1
